id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
esd-toolkit,ESD-Toolkit,http://standards.esd-toolkit.eu/EuOverview.aspx,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
aragodbpedia,AragoDBPedia,https://opendata.aragon.es,1,0.9752,1,0.89,1,1,0.98,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.23
ei2a,Aragon Interoperable Information Structure EI2A - aragon open data,https://opendata.aragon.es,1,0.9712,1,0.89,1,1,0.98,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.23
n-lex-as-linked-data,N-Lex as Linked Data,http://n-lex.publicdata.eu/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
unodc,UNODC - Statistics on criminal justice,http://unodc.publicdata.eu/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
opendatascotland-graph-education-pupils-by-school-and-datazone,opendatascotland-graph-education-pupils-by-school-and-datazone,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
renewable_energy_generators,Renewable Energy Generators,http://kasabi.com/dataset/renewable-energy-generators,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
courts-thesaurus,Courts thesaurus,http://vocabulary.wolterskluwer.de/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
opendatacommunities-imd-score-2010,opendatacommunities-imd-score-2010,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
opendatacommunities-societal-wellbeing-deprivation-imd-score-2010,opendatacommunities-societal-wellbeing-deprivation-imd-score-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
cz-vavai-evaluation-2013,Evaluation of VaVaI results for 2013,http://linked.opendata.cz/resource/dataset/vavai/evaluation/2013,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
cz-vavai-results,Results of R&D,http://linked.opendata.cz/resource/dataset/vavai/results,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
opendatacommunities-societal-wellbeing-deprivation-imd-health-score-2010,opendatacommunities-societal-wellbeing-deprivation-imd-health-score-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
cz-czso-demography-in-regions-czech-republic-age-categories,Number of inhabitants in districts of Czech Republic in 5year age categories,http://data.czso.cz/resource/dataset/demography-in-regions-czech-republic-age-categories,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
cht,Cultural Heritage Thesaurus,https://data.cultureelerfgoed.nl/,1,0.966819222,1,1,1,1,0.99,1,1,1,1,1,1,1,0,1,0.75,0,1,1,1,0.75,3.49
lichfield-spending,Lichfield District Council - Spending,http://spending.lichfielddc.gov.uk,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
eprtr,European Pollutant Release and Transfer Register (E-PRTR),http://prtr.ec.europa.eu/,1,0,1,0.78,1,1,0.8,0.5,1,0,1,0.62,1,1,1,1,1,1,1,0,1,0.75,3.17
world-factbook-fu-berlin,World Factbook (FU Berlin),http://www4.wiwiss.fu-berlin.de/factbook/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
linked-edgar,Linked EDGAR (OntologyCentral),http://edgarwrap.ontologycentral.com/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
sec-rdfabout,U.S. Securities and Exchange Commission Corporate Ownership RDF Data (rdfabout),http://www.rdfabout.com/demo/sec/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
European_Patent_Information,EPO patents,https://www.epo.org/linked-data/,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.07
